variant,fold_id,subject_id,method,n_windows,accuracy,macro_f1,active_macro_f1,nll,override_free_pred_rate
assist_tail_only,3,S038,standardized_logreg_smoothed,4200,0.5290476190476191,0.3238557848298485,0.29831401331732255,0.9949211083540022,0.47095238095238096
assist_tail_only,3,S109,standardized_logreg_smoothed,4200,0.7390476190476191,0.6194353507436853,0.5613426963137461,0.7101545328703419,0.26095238095238094
assist_tail_only,3,S110,standardized_logreg_smoothed,4200,0.475,0.28748211885569064,0.281436768846923,1.0667802435714255,0.525
assist_tail_only,3,S114,standardized_logreg_smoothed,4200,0.7197619047619047,0.6209462216260614,0.5694921746922708,0.7341101496931752,0.28023809523809523
metadata_object_context,3,S016,standardized_logreg_smoothed,4200,0.5009523809523809,0.08309562872478306,0.023294696536549028,0.9739794559267748,0.4990476190476191
metadata_object_context,3,S023,standardized_logreg_smoothed,4200,0.5026190476190476,0.10217720795190327,0.04279452556460706,0.9711168120994446,0.49738095238095237
metadata_object_context,3,S028,standardized_logreg_smoothed,4200,0.5002380952380953,0.061477379687070684,0.0008616975441619992,0.9760472497701072,0.49976190476190474
metadata_object_context,3,S031,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.974930922494771,0.5
metadata_object_context,3,S037,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.9761029272801467,0.5
metadata_object_context,3,S038,standardized_logreg_smoothed,4200,0.5004761904761905,0.0949819126830766,0.03653105332470905,0.9752683888019696,0.49952380952380954
metadata_object_context,3,S109,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.9743587996398995,0.5
metadata_object_context,3,S110,standardized_logreg_smoothed,4200,0.49976190476190474,0.06058681753236444,0.0,0.97527641757196,0.5002380952380953
metadata_object_context,3,S114,standardized_logreg_smoothed,4200,0.4992857142857143,0.08636471442578929,0.026783614471897723,0.9793150970682529,0.5007142857142857
full_assist_shuffled_tail,3,S016,standardized_logreg_smoothed,4200,0.5066666666666667,0.12731944684987168,0.07064770807967538,1.6822074279865844,0.49333333333333335
full_assist_shuffled_tail,3,S023,standardized_logreg_smoothed,4200,0.513095238095238,0.11071643501851262,0.04982739014327373,1.6837765309405819,0.4869047619047619
