audit,split,fold_id,subject_id,model,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,n
context_prior_or_assist_ablation,all_subject_kfold,4,S109,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.8301715790338601,0.0008845105219174587,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S110,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219174587,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S010,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843507,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S026,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843506,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S028,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.41117060328435084,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S031,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843507,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S036,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843507,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S037,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843506,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S106,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843506,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S109,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843507,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S110,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.952533170405728,0.4111706032843506,0.9969576633295721,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S010,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012831,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S026,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012831,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S028,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012832,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S031,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012832,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S036,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012832,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S037,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012831,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S106,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539442,0.0006638395502222005,0.5931328800012832,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S109,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012831,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S110,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9650475355539441,0.0006638395502222005,0.5931328800012831,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S010,object_only_prior_active_conditional,0.3357142857142857,0.6103896103896104,0.4076623691363823,0.6630997489594874,14.087409945212658,0.3338397546027231,0.9982480749711892,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S026,object_only_prior_active_conditional,0.3357142857142857,0.6103896103896104,0.4076623691363823,0.6630997489594874,14.087409945212658,0.3338397546027231,0.9982480749711892,4200
